M_id,Attack_by,Attack_year
1,,
2,Maratha_Empire,1761
3,Kalapahad,1508
4,Qutub-ub-Din-Aibak,1050
5,Mushlim_Sultanate,1565
6,Hemu,1556
7,,
8,Nadir_Shah,1720
9,,
10,,
11,The_Portugese,1701
12,Delhi_Sulatanae,1303
13,Terrorists,2008
14,Mujahideen,2013
15,Md_Bin_Bakhtiyar_Khilji,1193
16,,
17,,
18,,
19,Aurangzeb,1682
20,,
21,,
22,Ala-ud-din_Khilji,1303
23,Afghan_invaders,1801
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,"Allaudin Khilji,Bahadur Shah, Mughal Empire",
34,,
35,,
36,,
37,Mughals,1311
38,,
39,"British, Marathas",1804
40,,
41,,
42,,
43,,
44,,
45,Bakhtiyar Khalji,1193
46,,
47,Aurganzeb,1687
48,,
49,,
50,British Indian Army,1919
51,,
52,,1942
53,Hyder Ali,1779
54,,
55,,
56,,
57,British Army,1828
58,,
59,,
60,,
